"log_id";"log_status";"log_desc";"create_timestamp";"success_tweet_count";"error_tweet_count"
76;"SUCCESS";"";"2018-04-02 18:44:06";140;0
77;"SUCCESS";"";"2018-04-02 18:45:01";0;0
78;"SUCCESS";"";"2018-04-02 18:46:01";1;0
